Source,Target,GoldsteinScale
,GOV,4.0
REB,,1.0
,REB,1.0
GOV,,-5.0
,GOV,-2.0
REB,GOV,4.0
REB,,3.4
GOV,,4.0
GOV,REB,4.0
GOV,,3.4
,REB,8.0
REB,GOV,4.0
GOV,,8.0
,GOV,8.0
REB,,7.0
,,-5.0
,,7.4
REB,REB,7.0
,REB,7.0
GOV,REB,8.0
REB,GOV,8.0
,REB,-2.0
MED,,0.0
REB,,2.8
GOV,,4.0
,REB,3.5
,REB,1.9
,GOV,4.0
REB,,3.5
REB,,7.0
GOV,REB,8.0
REB,,4.0
,REB,4.0
REB,GOV,4.0
GOV,REB,4.0
REB,REB,7.0
REB,REB,7.0
REB,,7.0
REB,,7.0
,REB,-2.0
,REB,7.0
REB,REB,7.0
REB,GOV,8.0
,,7.4
,REB,7.0
,REB,4.0
,REB,7.0
REB,GOV,6.0
GOV,REB,8.0
REB,GOV,8.0
,JUD,5.0
REB,,-5.0
GOV,REB,4.0
GOV,REB,8.0
REB,GOV,4.0
REB,GOV,8.0
REB,,8.0
,REB,4.0
,REB,8.0
REB,,4.0
REB,,8.0
GOV,,0.4
REB,,7.0
,REB,7.0
,GOV,-4.0
REB,REB,7.0
REB,REB,7.0
REB,REB,7.0
,CRM,3.0
,CRM,-10.0
GOV,,4.0
,REB,4.0
,REB,8.0
,,-5.0
REB,,4.0
GOV,,-2.0
GOV,REB,3.5
REB,,7.0
,REB,7.0
GOV,REB,7.0
,REB,5.0
,GOV,8.0
GOV,,8.0
REB,,8.0
,GOV,-4.4
GOV,REB,4.0
,REB,8.0
,GOV,8.0
GOV,,8.0
,REB,4.0
GOV,REB,7.0
MIL,,7.4
CVL,,-6.5
REB,,5.0
REB,,8.0
REB,GOV,3.5
,ENV,2.8
ENV,,1.9
ENV,,0.0
,MIL,4.0
,REB,3.4
,GOV,4.0
GOV,REB,3.5
,REB,3.5
REB,,4.0
REB,GOV,4.0
REB,GOV,7.0
REB,GOV,3.5
,GOV,3.0
REB,,7.0
GOV,,4.0
,REB,-2.0
REB,,-2.0
GOV,REB,3.5
,GOV,2.8
,GOV,8.0
MIL,GOV,3.4
GOV,,-2.0
GOV,,8.0
GOV,,2.5
REB,,4.0
,,0.0
GOV,,1.9
,REB,3.4
,REB,7.0
,REB,7.0
REB,,7.0
GOV,REB,8.0
REB,GOV,8.0
,REB,7.0
,REB,5.0
REB,,8.0
,REB,-4.4
MIL,,7.0
MIL,,7.0
GOV,,-4.4
,REB,-2.0
,GOV,-5.0
,GOV,-5.0
,REB,3.0
,REB,0.0
,REB,-4.4
,REB,-9.0
,REB,7.0
REB,GOV,3.5
REB,,4.0
GOV,,8.0
,REB,4.0
,GOV,8.0
REB,,7.0
,REB,8.0
,REB,4.0
REB,,-2.0
,REB,4.0
REB,,1.0
